아이디,다음 대사 아이디,화자,대사,CG 이미지,입력 딜레이
100032,,,역시 호텔 밖으로 나갈 수 없는 모양이다.,,0.5
100033,100034,찢어진 수첩,올해에 할 일!,,0.5
100034,100035,찢어진 수첩,1. 면접보기! 2. 운동해서 살 빼기 ,,0.5
100035,100036,찢어진 수첩,3. 구독자들과 호텔 괴담 확인하기!,,0.5
100036,,찢어진 수첩,(이후 페이지는 찢어져서 확인할 수 없다),,0.5
100037,100038,직원 매뉴얼,1. 투숙객과 마주치지 말 것! -투숙객은 신이다,,0.5
100038,100039,직원 매뉴얼,2. 호텔에 떨어져 있는 물건은 나름의 팁이니 마구 줍도록 하자! -찝찝하면 그냥 룸 클리어 서비스라고 생각해,,0.5
100039,100040,직원 매뉴얼,3. 정신이 나갈 거 같으면 호텔 로비로 돌아가자. -엘리베이터가 무려 7개나 있다!,,0.5
100040,,직원 매뉴얼,4. 유감스럽게도 고장이 잦다. 빌어먹을… (글자가 뭉게져 보이지 않는다),,0.5
100041,,스크랩된 기사,…의료 강국 크루지아에서 개발된 신약@ 불치병을 완치하다.,,0.5
100042,100043,식단표,오늘의 식단: 나폴리 피자@ 스파게티@ 피클 마늘빵@ 미트볼,,0.5
100044,100045,식단표,내일의 식단: 과카몰리@ 타코@ 프렌치프라이@ 나쵸 치즈,,0.5
100046,,,젠장! 내일까지는 꼭 살아야겠는걸.,,0.5
100047,100048,작은 쪽지,요즘따라 당신이 변한 걸 느껴요. 특히 크루지아에 온 이상한 선원과 식사를 한 뒤로는…,,0.5
100048,,작은 쪽지,더 이상 당신의 식성에 맞춰주지 못할 거같아요. 우리는 서로 생각할 시간이 필요해요.,,0.5
100049,100050,편지,애야@ 아드리안나가 너와 다퉜다는 말을 한 뒤로 며칠 동안 아무런 연락이 없구나.,,0.5
100050,,편지,혹시 아드리안나가 지금 네 호텔에 있니?,,0.5
100051,100052,낡은 팜플렛,크루지아 선원 향우회,,0.5
100052,,낡은 팜플렛,장소 크루거 호텔,,0.5
100053,100054,,"자물쇠가 풀리는 순간, 등 뒤에서 엘리베이터의 작동음이 울렸다.",CGImage/CG_Ending01,0.5
100054,100055,,"분명 멈춰 있던 엘리베이터가, 마치 의지를 가진 것처럼 스스로 문을 열었다.",CGImage/CG_Ending01,0.5
100055,100056,,"열린 문은 나를 탐욕스럽게 삼키려는 입처럼 보였고, 엘리베이터 안에서  나를 부르는 속삭임이 환청 처럼 들려왔다.",CGImage/CG_Ending01,0.5
100056,100057,,나는 공포로 굳은 다리를 억지로 움직여 문밖으로 뛰쳐나갔다.,CGImage/CG_Ending02,0.5
100057,100058,,"차가운 새벽 공기가 폐를 파고들었지만, 그 냉기가 오히려 내가 탈출했다는 사실을 실감하게 했다.",CGImage/CG_Ending02,0.5
100058,100059,,"숨이 턱 끝까지 차올라 뒤를 돌아봤을 때, 비로소 내가 무엇으로부터 도망쳐 나왔는지 알 수 있었다.",CGImage/CG_Ending02,0.5
100059,100060,,"밤새 걸었던 복도도, 불빛도, 귓가를 맴돌던 목소리도 그곳에는 없었다.",CGImage/CG_Ending03,0.5
100060,100061,,남아 있던 것은 무너져 가는 뼈대뿐인 잿빛 폐허뿐이었다.,CGImage/CG_Ending03,0.5
100061,100062,,"나는 살아 있다는 사실에 안도하며, 그 모든 부자연스러움에 대해 깊이 생각하지 않으려 했다.",CGImage/CG_Ending03,0.5
100062,100063,,호텔에서 벗어났다는 안도감은 오래가지 못했다.,,0.5
100063,100064,,"며칠이 지나기도 전에, 현실은 다시 나를 붙잡았다.",,0.5
100064,100065,,"호텔 안보다 더 차갑고, 더 무심한 세계가 나를 기다리고 있었다.",,0.5
100065,100066,,"병원에서 걸려온 연락 한 통이, 내가 쉴 틈조차 없다는 걸 일깨워 주었다.",,0.5
100066,100067,,"책상 위에 쌓인 수많은 지불 통지서 사이로, 익숙한 문장이 적힌 편지 봉투가 눈에 들어왔다.",CGImage/CG_Ending04,0.5
100067,100068,,잊고 있던 그 호텔의 기억이 주마등처럼 스쳐 지나갔다.,CGImage/CG_Ending04,0.5
100068,100069,,"그 끔찍한 기억들에 식은땀이 흘렀지만, 놀랍게도 두려움보다 먼저 돈이 떠올랐다.",CGImage/CG_Ending04,0.5
100069,100070,,"그 순간, 내게 가장 필요한 것은 오직 돈이었다.",CGImage/CG_Ending04,0.5
100070,,,"그렇게 다시 한 번, 그곳으로 발걸음을 옮겼다.",CGImage/CG_Ending04,0.5
